Miles,Used,Certified,New,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Luxury,Base,Premium,Price
131522,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25995
100506,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26998
107300,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26317
88676,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24899
62133,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31998
73702,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29590
94745,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26999
91880,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28691
96256,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30900
81745,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28599
54439,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30500
67635,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27998
66937,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32950
65731,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29799
61876,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33998
100971,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28800
126808,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29896
143991,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23499
81253,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30590
93297,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29998
85537,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28998
52157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29500
98056,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28898
78377,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30988
103223,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24598
85867,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27495
88036,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30995
60074,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29998
72986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29575
96347,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28995
109819,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,29851
76080,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31998
90433,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27500
68991,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31995
114452,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22744
48927,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27995
47083,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32800
70717,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33874
70653,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22997
68073,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29800
79787,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31998
44568,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32350
60400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24499
94692,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27999
104418,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,26987
68440,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36000
80311,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29500
90816,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30990
42711,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33895
108760,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27555
51034,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36991
37118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,37995
28529,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,39989
85401,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30595
52830,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,36995
19302,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,43995
41042,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32446
90811,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29988
