Miles,Stock,Year,Sub_Model,Price
44875,Used,2021,Base,42990
38151,Used,2021,Base,45990
47120,Used,2021,Base,41000
46689,Used,2021,Base,46996
37225,Used,2021,Base,49990
42283,Used,2021,Base,44998
59518,Used,2021,Premium,42989
43071,Used,2021,Base,45344
33206,Used,2021,Base,48999
61723,Used,2021,Luxury,46181
48734,Used,2021,Base,46500
38599,Used,2021,Base,43995
41500,Used,2021,Premium,44998
45985,Used,2021,Base,42000
40633,Used,2021,Base,41995
17009,Used,2021,Base,44988
28024,Used,2021,Premium,45981
17326,Used,2021,Base,49981
24862,Used,2021,Premium,43987
54214,Used,2021,Base,41492
60612,Used,2021,Luxury,44499
34490,Used,2021,Base,45955
33736,Used,2021,Base,43998
32868,Used,2021,Base,45250
29230,Used,2021,Premium,50000
36414,Used,2021,Base,44900
82882,Used,2021,Premium,38998
22928,Used,2021,Base,46988
32014,Used,2021,Base,46995
65485,Used,2021,Base,39992
20390,Used,2021,Base,46888
28736,Used,2021,Luxury,47800
66244,Used,2021,Base,39071
55925,Used,2021,Base,38914
55717,Used,2021,Premium,39299
24940,Used,2021,Base,45998
47892,Used,2021,Base,44000
36298,Used,2021,Premium,44000
35861,Used,2021,Luxury,48145
39845,Used,2021,Premium,43885
52637,Used,2021,Base,45991
53618,Used,2021,Base,37997
29838,Used,2021,Base,46673
24500,Used,2021,Base,49698
34422,Used,2021,Base,46583
9031,Used,2021,Base,47000
21107,Used,2021,Base,52999
54237,Used,2021,Base,43482
27754,Used,2021,Base,46998
44001,Used,2021,Base,47300
42930,Used,2021,Premium,44998
122220,Used,2021,Base,31987
35557,Used,2021,Base,44944
46871,Used,2021,Premium,42880
52000,Used,2021,Premium,44000
26636,Used,2021,Base,47387
86915,Used,2021,Luxury,43990
20730,Used,2021,Base,49938
26204,Used,2021,Base,46998
40035,Used,2021,Base,44999
50423,Used,2021,Base,40995
44640,Used,2021,Premium,45687
90555,Used,2021,Luxury,41061
35431,Used,2021,Base,43295
34064,Used,2021,Premium,41999
62901,Used,2021,Base,44993
61612,Used,2021,Base,41888
37398,Used,2021,Luxury,50555
82085,Used,2021,Luxury,42998
44620,Used,2021,Base,39990
32724,Used,2021,Base,44998
43277,Used,2021,Premium,39750
25232,Used,2021,Luxury,50000
20673,Used,2021,Base,50993
25030,Used,2021,Premium,44687
19406,Used,2021,Base,50993
38176,Used,2021,Base,40497
38821,Used,2021,Base,42561
9131,Used,2021,Base,50220
26594,Used,2021,Base,45000
16442,Used,2021,Base,47900
34113,Used,2021,Premium,43103
31802,Used,2021,Base,44554
21552,Used,2021,Base,46313
22425,Used,2021,Base,45980
58717,Used,2021,Base,40000
21271,Used,2021,Base,47395
38365,Used,2021,Base,43998
19995,Used,2021,Luxury,49899
54198,Used,2021,Premium,41834
34361,Used,2021,Base,44399
50470,Used,2021,Base,43998
28254,Used,2021,Premium,45999
37968,Used,2021,Premium,40799
31910,Used,2021,Premium,48974
36749,Used,2021,Base,46292
22125,Used,2021,Base,45891
68429,Used,2021,Premium,37511
27904,Used,2021,Base,62014
49571,Used,2021,Base,41999
38875,Used,2021,Premium,39995
29685,Used,2021,Base,48990
45684,Used,2021,Premium,43997
50989,Used,2021,Base,42499
43012,Used,2021,Base,44990
15007,Certified,2021,Luxury,57998
26899,Used,2021,Base,45787
35825,Certified,2021,Premium,50895
49442,Used,2021,Premium,40899
24041,Used,2021,Base,49990
23611,Used,2021,Base,42998
26275,Used,2021,Base,48698
42825,Used,2021,Premium,49920
20707,Used,2021,Base,47988
31434,Used,2021,Premium,40788
22108,Used,2021,Base,40995
19889,Used,2021,Base,46959
25379,Used,2021,Premium,46373
16818,Used,2021,Base,50988
29128,Used,2021,Base,44984
42101,Certified,2021,Premium,49995
40607,Used,2021,Luxury,48995
33267,Used,2021,Base,43000
18608,Used,2021,Base,48899
35374,Used,2021,Base,44998
60749,Used,2021,Base,42990
15358,Used,2021,Luxury,57985
70428,Used,2021,Base,37488
38529,Used,2021,Base,42488
22778,Used,2021,Base,44995
59111,Used,2021,Base,42500
57416,Used,2021,Base,41998
43967,Used,2021,Premium,41440
51750,Used,2021,Premium,49645
46719,Used,2021,Premium,43000
52912,Used,2021,Base,40990
19151,Used,2021,Luxury,47897
40479,Used,2021,Base,42680
33259,Used,2021,Base,42699
23358,Used,2021,Base,48998
43493,Used,2021,Premium,42477
92947,Used,2021,Base,40888
46144,Used,2021,Luxury,46987
9540,Used,2021,Luxury,54998
33736,Used,2021,Luxury,46998
48448,Used,2021,Luxury,49997
15318,Used,2021,Base,49995
58866,Used,2021,Base,37883
42343,Used,2021,Luxury,47498
28121,Used,2021,Premium,45000
59096,Used,2021,Premium,41749
19675,Used,2021,Luxury,47499
41644,Used,2021,Luxury,49491
43977,Used,2021,Base,43998
5887,Used,2021,Premium,49995
18066,Used,2021,Base,49990
35369,Used,2021,Base,44999
36701,Used,2021,Base,43900
35957,Used,2021,Base,43816
40167,Used,2021,Base,45999
29808,Used,2021,Base,46900
41602,Used,2021,Luxury,46990
35479,Used,2021,Premium,44590
19846,Used,2021,Base,47998
24025,Used,2021,Base,50299
39958,Used,2021,Luxury,45662
30398,Used,2021,Premium,49788
20927,Used,2021,Luxury,51998
29029,Used,2021,Base,46611
81660,Used,2021,Base,38888
31950,Used,2021,Premium,48900
44056,Used,2021,Base,44569
38779,Used,2021,Base,43998
32051,Used,2021,Luxury,51998
42441,Used,2021,Luxury,46661
37646,Used,2021,Luxury,48000
41558,Used,2021,Base,45991
37434,Used,2021,Base,52929
11010,Used,2021,Base,50995
25967,Used,2021,Base,47998
46346,Used,2021,Base,45014
30000,Used,2021,Base,46534
25283,Used,2021,Base,46233
30503,Used,2021,Base,41779
33040,Used,2021,Base,42428
49021,Used,2021,Base,40933
31735,Used,2021,Premium,46989
21383,Used,2021,Base,47998
65074,Used,2021,Base,39925
30404,Used,2021,Base,47995
37321,Used,2021,Base,45998
22476,Used,2021,Base,48983
28215,Used,2021,Luxury,49223
31304,Used,2021,Base,49981
31601,Used,2021,Luxury,49888
41679,Used,2021,Base,39888
36355,Used,2021,Premium,46977
72329,Used,2021,Base,41996
22036,Used,2021,Base,45495
31350,Used,2021,Base,45000
30689,Used,2021,Base,42500
47559,Used,2021,Base,38490
26671,Used,2021,Base,44991
